,1w,5w_shuff,5w_unshuff
0,9.695216086456574,7.878042904957729,7.592409411936487
1,9.458302537615749,7.6001042928651374,7.301796466817673
2,9.419917082157093,7.326796825182311,7.207373693176164
3,9.364665848655063,7.2497031000235035,6.973941717012452
4,9.364851760116224,6.993970107894011,6.769227805766855
5,9.40852117648858,6.867599498083411,6.533768283437697
6,9.408177205154672,6.616292306070887,6.518756742478184
7,9.4027792352056,6.587710768660915,6.332549913133718
8,9.385279898732811,6.521918119676726,6.385054826516612
9,9.36793350050758,6.388128779983646,6.314077632681374
10,9.354445935356482,6.322911156680216,6.185157673479134
11,9.366420698057674,6.02567198973337,6.2721006329242215
12,9.349861482657007,5.950445916557185,6.3889856994897585
13,9.34724907370706,5.889600042434985,6.2782416181407195
14,9.344183812011861,5.729882917127509,6.269527545317545
15,9.39084473020147,5.6950530848382925,6.2214291364861545
16,9.381246546754312,5.7530348111952225,6.087448633613298
17,9.363424389372287,5.6533563419062,6.027123732735019
18,9.372492421071822,5.514197748239468,6.020089114344276
19,9.404257497179268,5.462864583237591,6.0298353410279155
20,9.383862699701304,5.44788429747155,5.929171072472931
21,9.373474428073383,5.390156120369779,5.812816211227496
22,9.356773697907085,5.380147126059781,6.027801722768034
23,9.356910544486002,5.335301553115619,5.889861253383007
24,9.33801598247556,5.283547557465205,5.780455208340157
25,9.349437439416944,5.221396901211254,5.934497352948763
26,9.371568295156038,5.116654969750316,5.7429957765691055
27,9.373814704372542,5.254401458129866,5.838783161525452
28,9.355275785075058,5.161232031888375,5.739983232291197
29,9.357212866635342,5.209243028257552,5.61843319908788
30,9.388229340116746,5.253533501769763,5.694782989798769
31,9.379419894677902,5.279553069198768,5.526216946456737
32,9.386229067387486,5.44283819785629,5.464007736571893
33,9.324607910652198,5.3940961434243695,5.438439423832963
34,9.363910765741323,5.38534118843713,5.434549994516164
35,9.381832712857124,5.155018222654633,5.371502259441941
36,9.394585946927887,5.165550117211266,5.337474855028128
37,9.402956096055124,5.357666932791356,5.406709807114741
38,9.390323872379115,5.1057036544179235,5.430439784330767
39,9.40267338892065,4.825205583492792,5.411062922245879
40,9.363442340765001,4.735436731155722,5.372338472880081
41,9.400229157008685,4.8510725336220055,5.338430097770233
42,9.383610368294837,4.77020702399081,5.249283384965539
43,9.367534585171464,4.671821792739387,5.16764887288298
44,9.368634833813843,4.68967512042304,5.075446446574611
45,9.33790124140914,4.934616186926203,5.03141866759669
46,9.34514045190772,5.210463741213358,5.1350499715766516
47,9.362287903788527,5.35940539941002,5.093331911118139
48,9.371531845628759,5.317998473100747,5.324483727127865
49,9.40117038982583,5.304366315236881,5.2931176495068515
50,9.405378730109966,5.246761235587483,5.273829469535009
51,9.381854785787844,5.412778694391641,5.165389077846999
52,9.394530579703456,5.253433774743125,5.022733456265933
53,9.374603998531619,5.235340345215193,5.054411815657945
54,9.380889645339176,5.11138896522463,4.956518742682529
55,9.365504947785285,5.262509163774517,4.846993726141113
56,9.348882679790359,5.203070836043237,4.846445569054835
57,9.398704600469266,5.491411528530857,4.906200611624845
58,9.389260834499566,5.41679253177529,4.966581340285609
59,9.387243822443406,5.248984900118275,4.887269436185826
60,9.360438279508088,5.313234307921535,4.893697803281658
61,9.380152271668521,5.335960087128456,4.8728321140634385
62,9.350146478145591,5.296339451263282,4.841662609068022
63,9.362637385786025,5.318525149410762,4.835221014824965
64,9.392332801697545,5.417675894695327,4.8583319033546015
65,9.344112949642023,5.420463976543514,5.034378817293144
66,9.349411287210678,5.349168628905711,5.078886411562936
67,9.393193608729637,5.164505137201001,4.952713785145926
68,9.364142675237455,5.112593000114673,5.089817240611298
69,9.38120709222396,5.006046402449579,4.944122597947012
