,s_id,q_id,run0,rerun,mined,p0,p_mined,residual,W,std.resid^2
81,0,45,1.0,1,1,1.0,1.0,0.0,0.0,0.0
82,0,95,1.0,1,1,1.0,1.0,0.0,0.0,0.0
83,0,12,1.0,1,1,1.0,1.0,0.0,0.0,0.0
84,0,61,1.0,1,1,1.0,1.0,0.0,0.0,0.0
85,0,39,1.0,1,1,1.0,1.0,0.0,0.0,0.0
86,0,17,1.0,1,1,1.0,1.0,0.0,0.0,0.0
87,0,93,1.0,1,1,1.0,1.0,0.0,0.0,0.0
88,0,71,1.0,1,1,1.0,1.0,0.0,0.0,0.0
89,0,53,1.0,1,1,1.0,1.0,0.0,0.0,0.0
90,0,36,1.0,1,1,1.0,1.0,0.0,0.0,0.0
91,0,38,1.0,1,1,1.0,1.0,0.0,0.0,0.0
92,0,31,1.0,1,1,1.0,1.0,0.0,0.0,0.0
93,0,24,1.0,1,1,1.0,1.0,0.0,0.0,0.0
94,0,67,1.0,1,1,1.0,1.0,0.0,0.0,0.0
95,0,34,1.0,1,1,1.0,1.0,0.0,0.0,0.0
96,0,76,1.0,1,1,1.0,1.0,0.0,0.0,0.0
97,0,55,1.0,1,1,1.0,1.0,0.0,0.0,0.0
98,0,6,1.0,1,1,1.0,1.0,0.0,0.0,0.0
99,0,94,1.0,1,1,1.0,1.0,0.0,0.0,0.0
100,1,90,1.0,1,1,1.0,1.0,0.0,0.0,0.0
101,1,87,1.0,1,1,1.0,1.0,0.0,0.0,0.0
102,1,73,0.0,0,1,0.0,1.0,1.0,0.0,1.0
103,1,70,1.0,1,1,1.0,1.0,0.0,0.0,0.0
104,1,23,1.0,1,1,1.0,1.0,0.0,0.0,0.0
105,1,59,1.0,1,0,1.0,0.0,-1.0,0.0,1.0
106,1,95,1.0,1,1,1.0,1.0,0.0,0.0,0.0
107,1,94,1.0,1,1,1.0,1.0,0.0,0.0,0.0
108,1,30,1.0,1,1,1.0,1.0,0.0,0.0,0.0
109,1,21,1.0,1,1,1.0,1.0,0.0,0.0,0.0
110,1,45,1.0,1,1,1.0,1.0,0.0,0.0,0.0
111,1,86,1.0,1,1,1.0,1.0,0.0,0.0,0.0
112,1,75,1.0,1,1,1.0,1.0,0.0,0.0,0.0
113,1,5,1.0,1,1,1.0,1.0,0.0,0.0,0.0
114,1,78,1.0,1,1,1.0,1.0,0.0,0.0,0.0
115,1,33,1.0,1,1,1.0,1.0,0.0,0.0,0.0
116,1,77,1.0,1,1,1.0,1.0,0.0,0.0,0.0
117,1,37,1.0,1,0,1.0,0.0,-1.0,0.0,1.0
118,1,57,1.0,1,1,1.0,1.0,0.0,0.0,0.0
119,1,46,1.0,1,1,1.0,1.0,0.0,0.0,0.0
120,1,83,1.0,1,1,1.0,1.0,0.0,0.0,0.0
121,1,15,0.0,0,0,0.0,0.0,0.0,0.0,0.0
122,1,28,1.0,1,0,1.0,0.0,-1.0,0.0,1.0
123,1,76,1.0,1,1,1.0,1.0,0.0,0.0,0.0
124,1,60,1.0,1,1,1.0,1.0,0.0,0.0,0.0
125,1,12,1.0,1,1,1.0,1.0,0.0,0.0,0.0
126,1,10,0.0,0,0,0.0,0.0,0.0,0.0,0.0
127,1,17,1.0,1,1,1.0,1.0,0.0,0.0,0.0
128,1,36,1.0,1,0,1.0,0.0,-1.0,0.0,1.0
129,1,56,1.0,1,1,1.0,1.0,0.0,0.0,0.0
130,1,47,1.0,1,1,1.0,1.0,0.0,0.0,0.0
131,1,43,1.0,1,1,1.0,1.0,0.0,0.0,0.0
132,1,4,1.0,1,0,1.0,0.0,-1.0,0.0,1.0
133,1,19,1.0,1,1,1.0,1.0,0.0,0.0,0.0
134,1,35,1.0,1,1,1.0,1.0,0.0,0.0,0.0
135,1,31,1.0,1,1,1.0,1.0,0.0,0.0,0.0
136,1,54,1.0,1,1,1.0,1.0,0.0,0.0,0.0
137,1,20,1.0,1,0,1.0,0.0,-1.0,0.0,1.0
138,1,97,1.0,1,1,1.0,1.0,0.0,0.0,0.0
139,1,69,0.0,0,1,0.0,1.0,1.0,0.0,1.0
140,1,71,1.0,1,1,1.0,1.0,0.0,0.0,0.0
141,1,66,1.0,1,1,1.0,1.0,0.0,0.0,0.0
142,1,85,1.0,1,1,1.0,1.0,0.0,0.0,0.0
143,1,55,1.0,1,1,1.0,1.0,0.0,0.0,0.0
144,1,11,1.0,1,1,1.0,1.0,0.0,0.0,0.0
145,1,89,1.0,1,1,1.0,1.0,0.0,0.0,0.0
146,1,13,1.0,1,1,1.0,1.0,0.0,0.0,0.0
147,1,96,1.0,1,1,1.0,1.0,0.0,0.0,0.0
148,1,79,1.0,1,1,1.0,1.0,0.0,0.0,0.0
149,1,91,0.0,0,0,0.0,0.0,0.0,0.0,0.0
150,1,14,1.0,1,1,1.0,1.0,0.0,0.0,0.0
151,1,44,0.0,0,1,0.0,1.0,1.0,0.0,1.0
152,1,50,1.0,1,0,1.0,0.0,-1.0,0.0,1.0
153,1,68,1.0,1,1,1.0,1.0,0.0,0.0,0.0
154,1,62,1.0,1,1,1.0,1.0,0.0,0.0,0.0
155,1,6,0.0,0,0,0.0,0.0,0.0,0.0,0.0
156,1,65,1.0,1,1,1.0,1.0,0.0,0.0,0.0
157,1,93,1.0,1,1,1.0,1.0,0.0,0.0,0.0
158,1,40,1.0,1,1,1.0,1.0,0.0,0.0,0.0
159,1,99,1.0,1,1,1.0,1.0,0.0,0.0,0.0
160,1,39,1.0,1,1,1.0,1.0,0.0,0.0,0.0
161,1,80,1.0,1,1,1.0,1.0,0.0,0.0,0.0
162,1,32,1.0,1,1,1.0,1.0,0.0,0.0,0.0
163,1,1,1.0,1,1,1.0,1.0,0.0,0.0,0.0
164,1,38,1.0,1,1,1.0,1.0,0.0,0.0,0.0
165,1,84,1.0,1,1,1.0,1.0,0.0,0.0,0.0
