,s_id,q_id,run0,rerun,mined,p0,p_mined,residual,W,std.resid^2
0,0,95,1.0,1,1,1.0,1.0,0.0,0.0,0.0
1,0,74,1.0,1,1,1.0,1.0,0.0,0.0,0.0
2,0,16,1.0,1,1,1.0,1.0,0.0,0.0,0.0
3,0,89,1.0,1,1,1.0,1.0,0.0,0.0,0.0
4,0,54,0.0,0,0,0.0,0.0,0.0,0.0,0.0
5,0,20,1.0,1,1,1.0,1.0,0.0,0.0,0.0
6,0,73,1.0,1,1,1.0,1.0,0.0,0.0,0.0
7,0,56,1.0,1,1,1.0,1.0,0.0,0.0,0.0
8,0,61,1.0,1,1,1.0,1.0,0.0,0.0,0.0
9,0,53,1.0,1,1,1.0,1.0,0.0,0.0,0.0
10,0,15,1.0,1,1,1.0,1.0,0.0,0.0,0.0
11,0,22,0.0,0,0,0.0,0.0,0.0,0.0,0.0
12,0,99,1.0,1,1,1.0,1.0,0.0,0.0,0.0
13,0,90,1.0,1,1,1.0,1.0,0.0,0.0,0.0
14,0,17,1.0,1,1,1.0,1.0,0.0,0.0,0.0
15,0,29,0.0,0,0,0.0,0.0,0.0,0.0,0.0
16,0,7,0.0,0,0,0.0,0.0,0.0,0.0,0.0
17,0,19,1.0,1,1,1.0,1.0,0.0,0.0,0.0
18,0,78,0.0,0,0,0.0,0.0,0.0,0.0,0.0
19,0,67,0.0,0,0,0.0,0.0,0.0,0.0,0.0
20,0,98,1.0,1,1,1.0,1.0,0.0,0.0,0.0
21,0,79,1.0,1,1,1.0,1.0,0.0,0.0,0.0
22,0,81,1.0,1,1,1.0,1.0,0.0,0.0,0.0
23,0,48,0.0,0,0,0.0,0.0,0.0,0.0,0.0
24,0,40,1.0,1,1,1.0,1.0,0.0,0.0,0.0
25,0,12,1.0,1,1,1.0,1.0,0.0,0.0,0.0
26,0,82,0.0,0,0,0.0,0.0,0.0,0.0,0.0
27,0,38,0.0,0,0,0.0,0.0,0.0,0.0,0.0
28,0,46,1.0,1,1,1.0,1.0,0.0,0.0,0.0
29,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
30,0,49,0.0,0,0,0.0,0.0,0.0,0.0,0.0
31,0,37,1.0,1,1,1.0,1.0,0.0,0.0,0.0
32,0,72,1.0,1,1,1.0,1.0,0.0,0.0,0.0
33,0,4,1.0,1,1,1.0,1.0,0.0,0.0,0.0
34,0,93,1.0,1,1,1.0,1.0,0.0,0.0,0.0
35,0,41,1.0,1,1,1.0,1.0,0.0,0.0,0.0
